,Error Rate,FNR,FPR,Model,accuracy,auc,f1,precision,recall,sensitivity,specificity
0,0.12983798379837982,0.5144508670520231,0.07898089171974522,../data/SelectedFeatures/Model1/RFECV.csv,0.8701620162016201,0.7965664003534481,0.46623496762257166,0.48554913294797686,0.4483985765124555,0.48554913294797686,0.9210191082802548
1,0.1152115211521152,0.07696969696969697,0.1377952755905512,../data/SelectedFeatures/Model2/RFECV.csv,0.8847884788478848,0.9661256805709204,0.8560989319842608,0.923030303030303,0.7982180293501048,0.923030303030303,0.8622047244094488
2,0.2418991899189919,0.44315992292870904,0.21528662420382166,../data/SelectedFeatures/Model1NoDrugQs/RFECV.csv,0.758100810081008,0.7215848704637777,0.34966727162734423,0.5568400770712909,0.25485008818342153,0.5568400770712909,0.7847133757961784
3,0.38073807380738073,0.1503030303030303,0.5168217609162491,../data/SelectedFeatures/Model2NoDrugQs/RFECV.csv,0.6192619261926192,0.769559337107655,0.6236654804270463,0.8496969696969697,0.49262122276879833,0.8496969696969697,0.4831782390837509
4,0.1557155715571557,0.43159922928709055,0.11923566878980892,../data/SelectedFeatures/Model1NoDummies/RFECV.csv,0.8442844284428442,0.8095330314298688,0.46021840873634945,0.5684007707129094,0.38663171690694625,0.5684007707129094,0.880764331210191
5,0.13456345634563457,0.07636363636363637,0.16893342877594847,../data/SelectedFeatures/Model2NoDummies/RFECV.csv,0.8654365436543654,0.9588831044879722,0.8359846407021393,0.9236363636363636,0.7635270541082164,0.9236363636363636,0.8310665712240516
6,0.15976597659765976,0.5703275529865125,0.10547770700636942,../data/SelectedFeatures/Model1NoDrugQsNoDummies/RFECV.csv,0.8402340234023402,0.7445275701680105,0.38581314878892736,0.4296724470134875,0.3500784929356358,0.4296724470134875,0.8945222929936306
7,0.4057155715571557,0.10666666666666667,0.582319255547602,../data/SelectedFeatures/Model2NoDrugQsNoDummies/RFECV.csv,0.5942844284428442,0.7758898939285481,0.620500947169017,0.8933333333333333,0.47533053853595614,0.8933333333333333,0.417680744452398
8,0.8832133213321333,0.0,1.0,../data/dfManual,0.11678667866786678,0.5,0.2091476929276647,1.0,0.11678667866786678,1.0,0.0
9,0.6287128712871287,0.0,1.0,../data/dfManual,0.3712871287128713,0.5,0.5415162454873647,1.0,0.3712871287128713,1.0,0.0
